id,brand,title,sold_price,actual_price,url,img
467,Shining,Shining Diva Fashion Latest 18k Gold Plated AAA Crystal Diamonds Earrings For Women & Girls,₹258,"₹2,499",https://www.amazon.in/Shining-Diva-Fashion-Collection-9582er/dp/B07BJ8SBPW/ref=sr_1_2204?qid=1679212384&s=apparel&sr=1-2204,https://m.media-amazon.com/images/I/71Q0qgsgueL._AC_UL320_.jpg
468,TYPIFY,TYPIFY® Oxford Durable Water-Resistant Women's Travel Backpack Korean College handbag school Bag for girls. Gift for Her,₹449,"₹1,699",https://www.amazon.in/TYPIFY%C2%AE-Durable-Water-Resistant-Backpack-College/dp/B0BV2VJ65Q/ref=sr_1_2205?qid=1679212384&s=apparel&sr=1-2205,https://m.media-amazon.com/images/I/616hpMydHfL._AC_UL320_.jpg
469,Soccer,"Soccer Game! (Scholastic Reader, Level 1)",₹892,₹892,https://www.amazon.in/Scholastic-Reader-Level-Soccer-Game/dp/0590483692/ref=sr_1_2206?qid=1679212384&s=apparel&sr=1-2206,https://m.media-amazon.com/images/I/71hgnV8xXiL._AC_UL320_.jpg
470,ANNI,ANNI DESIGNER Women's Cotton Blend Printed Straight Kurta with Palazzo (Pimpli),₹479,"₹2,599",https://www.amazon.in/ANNI-DESIGNER-Straight-Pimpli-Pink_M_Pink_Medium/dp/B0B515MKPQ/ref=sr_1_2207?qid=1679212384&s=apparel&sr=1-2207,https://m.media-amazon.com/images/I/71AQkGYCpdL._AC_UL320_.jpg
471,Park,"Park Avenue Signature Collection Premium Body Spray for Men, 2 Voyage & 1 Neo FREE, Fresh Long Lasting Fragrance (Pack of ...",₹422.40,₹480,https://www.amazon.in/Park-Avenue-Super-Saver-Voyage/dp/B00ZC4U2NY/ref=sr_1_2208?qid=1679212384&s=apparel&sr=1-2208,https://m.media-amazon.com/images/I/81thnD6HwDL._AC_UL320_.jpg
472,SHREEMAD,SHREEMAD Women Bag Crocodile Stylis tote Shoulder Leather Purse in Croco type material Very Elegant look with 3 Compartmen...,₹799,₹999,https://www.amazon.in/SHREEMAD-Crocodile-Shoulder-material-Compartment/dp/B0BXYWF6PF/ref=sr_1_2305?qid=1679212387&s=apparel&sr=1-2305,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/611zUI4Nw7L._AC_UL320_.jpg
473,RYNOCHI,RYNOCHI Antiglare Computer Glasses For Eye Protection Blue Light Blocking Glasses Oval Sunglasses Black Frame For Boys & G...,₹240,"₹1,999",https://www.amazon.in/RYNOCHI-Antiglare-Computer-Protection-Sunglasses/dp/B0BHPHDFDK/ref=sr_1_2306?qid=1679212387&s=apparel&sr=1-2306,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/41BwzxYaLSL._AC_UL320_.jpg
474,Fashion,Fashion Frill Exclusive Lovable Stainless Steel Hug Ring For Women Girls Valentine Ring Couple Ring For Women Girls Boys P...,₹149,₹199,https://www.amazon.in/Fashion-Frill-Stainless-Valentine-Jewellery/dp/B0B18TZTCT/ref=sr_1_2307?qid=1679212387&s=apparel&sr=1-2307,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71+chB1YlBL._AC_UL320_.jpg
475,Cello,"Cello Checkers Plastic PET Canister Set, 18 Pieces, Clear",₹569,"₹1,090",https://www.amazon.in/Cello-Checkers-Plastic-Canister-Pieces/dp/B01LYBZX6Y/ref=sr_1_2308?qid=1679212387&s=apparel&sr=1-2308,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/71ZmmLW97YL._AC_UL320_.jpg
476,SKMEI,"SKMEI Men's Digital Sports Watch, LED Square Large Face Analog Quartz Wrist Watch with Multi-Time Zone Waterproof Stopwatch",₹949,₹999,https://www.amazon.in/SKMEI-Analogue-Digital-Watch-1688_RG/dp/B08GD2YMTG/ref=sr_1_2309?qid=1679212387&s=apparel&sr=1-2309,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/6149-JlZjoL._AC_UL320_.jpg
